Relay URL,Latitude,Longitude,IsBitChat
nostr-relay.corb.net:443,38.8353,-104.822,1
nittom.nostr1.com,40.7057,-74.0136,1
relay.nostr.blockhenge.com,39.0438,-77.4874,1
relay.artx.market:443,43.6548,-79.3885,1
eu.nostr.pikachat.org:443,49.4543,11.0746,1
nostr.oxtr.dev,50.4754,12.3683,1
nostr.2b9t.xyz:443,34.0549,-118.243,1
nostr.tagomago.me,42.3601,-71.0589,1
nittom.nostr1.com:443,40.7057,-74.0136,1
relay.getsafebox.app:443,43.6532,-79.3832,1
nostr.spaceshell.xyz,43.6532,-79.3832,1
social.amanah.eblessing.co,48.1046,11.6002,1
relay.trustr.ing:443,43.6548,-79.3885,1
rele.speyhard.fi,51.5072,-0.127586,1
relay.bitmacro.cloud,43.6532,-79.3832,1
cs-relay.nostrdev.com,50.4754,12.3683,1
nostr.quali.chat:443,60.1699,24.9384,1
nostr.oxtr.dev:443,50.4754,12.3683,1
testnet-relay.samt.st,40.8302,-74.1299,1
relay.lotek-distro.com,43.6532,-79.3832,1
myvoiceourstory.org,37.3598,-121.981,1
relay.mostr.pub,43.6532,-79.3832,1
relay.mccormick.cx,52.3563,4.95714,1
relay.layer.systems:443,49.0291,8.35695,1
relay.vrtmrz.net:443,43.6532,-79.3832,1
relay.endfiat.money,59.3327,18.0656,1
relay.nostr-check.me,43.6532,-79.3832,1
relay.nearhood.co.uk,51.5072,-0.127586,1
wot.sudocarlos.com,43.6532,-79.3832,1
relay.fundstr.me,42.3601,-71.0589,1
relay.mostro.network,40.8302,-74.1299,1
nostr-check.me,43.6532,-79.3832,1
nostr.plantroon.com,50.1013,8.62643,1
vault.iris.to:443,43.6532,-79.3832,1
relay-dev.gulugulu.moe:443,43.6532,-79.3832,1
relay.libernet.app:443,43.6532,-79.3832,1
speakeasy.cellar.social,49.4543,11.0746,1
nostr.pbfs.io,50.4754,12.3683,1
syb.lol:443,43.6532,-79.3832,1
relay5.bitransfer.org,43.6532,-79.3832,1
relay.mwaters.net,50.9871,2.12554,1
insta-relay.apps3.slidestr.net,40.4167,-3.70329,1
nostrja-kari.heguro.com,43.6532,-79.3832,1
nostr-kyomu-haskell.onrender.com,37.7775,-122.397,1
schnorr.me:443,43.6532,-79.3832,1
us-east.nostr.pikachat.org,39.0438,-77.4874,1
nostr.bitcoiner.social:443,47.6743,-117.112,1
nostr.carroarmato0.be,50.914,3.21378,1
relay.plebeian.market:443,50.1109,8.68213,1
nostr.spaceshell.xyz:443,43.6532,-79.3832,1
relay.wisp.talk,49.4543,11.0746,1
dev-relay.nostreon.com,60.1699,24.9384,1
dev.relay.stream,43.6532,-79.3832,1
test.thedude.cloud,50.1109,8.68213,1
relay.0xchat.com,43.6532,-79.3832,1
nostr.computingcache.com:443,34.0356,-118.442,1
nostr.debate.report,50.1109,8.68213,1
nostr.tac.lol:443,47.4748,-122.273,1
nostr.tac.lol,47.4748,-122.273,1
spookstr2.nostr1.com,40.7057,-74.0136,1
bitchat.nostr1.com,40.7057,-74.0136,1
nostr-rs-relay-ishosta.phamthanh.me,43.6532,-79.3832,1
top.testrelay.top:443,43.6532,-79.3832,1
relay-rpi.edufeed.org,49.4521,11.0767,1
nostrelay.circum.space,52.6907,4.8181,1
nostrbtc.com,43.6532,-79.3832,1
articles.layer3.news,37.3387,-121.885,1
x.kojira.io,43.6532,-79.3832,1
relay.minibolt.info:443,43.6532,-79.3832,1
nostr2.thalheim.io,49.4543,11.0746,1
bitcoiner.social,47.6743,-117.112,1
relayrs.notoshi.win,43.6532,-79.3832,1
nostr.stakey.net:443,52.3676,4.90414,1
srtrelay.c-stellar.net,43.6532,-79.3832,1
nostr.liberty.fans,36.9104,-89.5875,1
relay.cosmicbolt.net:443,37.3986,-121.964,1
strfry.shock.network,39.0438,-77.4874,1
nostr.sathoarder.com:443,48.5734,7.75211,1
relay.veganostr.com,60.1699,24.9384,1
nostr-relay.xbytez.io:443,50.6924,3.20113,1
nostr-relay-1.trustlessenterprise.com:443,43.6532,-79.3832,1
ribo.us.nostria.app:443,43.6532,-79.3832,1
nostr-relay.psfoundation.info:443,39.0438,-77.4874,1
fanfares.nostr1.com,40.7057,-74.0136,1
relay.agorist.space,52.3734,4.89406,1
nostr.nodesmap.com,59.3327,18.0656,1
relay.ru.ac.th,13.7607,100.627,1
relay.degmods.com,50.4754,12.3683,1
cache.trustr.ing,43.6548,-79.3885,1
relay.edufeed.org,49.4521,11.0767,1
nostr.hekster.org,37.3986,-121.964,1
nostr.vulpem.com,49.4543,11.0746,1
relay.cosmicbolt.net,37.3986,-121.964,1
bendernostur.duckdns.org:8443,50.1109,8.68213,1
nostr.data.haus,50.4754,12.3683,1
nostr.spicyz.io,43.6532,-79.3832,1
relay.mulatta.io,37.5665,126.978,1
relay.guggero.org,46.5971,9.59652,1
relayrs.notoshi.win:443,43.6532,-79.3832,1
purplerelay.com:443,43.6532,-79.3832,1
nrs-02.darkcloudarcade.com,39.9526,-75.1652,1
nostr.hekster.org:443,37.3986,-121.964,1
relay.openfarmtools.org,60.1699,24.9384,1
nostr-pub.wellorder.net,45.5201,-122.99,1
relay.sincensura.org,43.6532,-79.3832,1
relay.staging.plebeian.market,51.5072,-0.127586,1
nostrride.io,37.3986,-121.964,1
relay.thecryptosquid.com,50.4754,12.3683,1
relay.olas.app,60.1699,24.9384,1
relay.illuminodes.com,43.6532,-79.3832,1
ribo.nostria.app,43.6532,-79.3832,1
us-east.nostr.pikachat.org:443,39.0438,-77.4874,1
relay.dreamith.to:443,43.6532,-79.3832,1
ribo.nostria.app:443,43.6532,-79.3832,1
nostr.rtvslawenia.com:443,49.4543,11.0746,1
wot.dergigi.com,64.1476,-21.9392,1
relay.chorus.community,48.5333,10.7,1
schnorr.me,43.6532,-79.3832,1
nostr.thalheim.io:443,60.1699,24.9384,1
nostr.islandarea.net,35.4669,-97.6473,1
relay.satlantis.io,40.8054,-74.0241,1
ynostr.yael.at,60.1699,24.9384,1
chat-relay.zap-work.com:443,43.6532,-79.3832,1
relay.nostrdice.com,-33.8688,151.209,1
wot.codingarena.top,50.4754,12.3683,1
public.crostr.com,43.6532,-79.3832,1
nostr2.girino.org,43.6532,-79.3832,1
shu01.shugur.net,21.4902,39.2246,1
nostr.rtvslawenia.com,49.4543,11.0746,1
nrs-01.darkcloudarcade.com,39.1008,-94.5811,1
strfry.ymir.cloud,43.6532,-79.3832,1
relay.nostrian-conquest.com,41.223,-111.974,1
premium.primal.net,43.6532,-79.3832,1
relay.mrmave.work,43.6532,-79.3832,1
nostr.wecsats.io:443,43.6532,-79.3832,1
adre.su,59.9311,30.3609,1
relay02.lnfi.network,35.6764,139.65,1
spookstr2.nostr1.com:443,40.7057,-74.0136,1
nostr.hifish.org:443,47.4244,8.57658,1
nostr-rs-relay.dev.fedibtc.com,39.0438,-77.4874,1
r.0kb.io,32.789,-96.7989,1
nostr-01.yakihonne.com,1.32123,103.695,1
nostr-relay.corb.net,38.8353,-104.822,1
nostr-2.21crypto.ch,47.5356,8.73209,1
relay.homeinhk.xyz,35.694,139.754,1
antiprimal.net,43.6532,-79.3832,1
relay.arx-ccn.com,50.4754,12.3683,1
nostr.notribe.net,40.8302,-74.1299,1
nostr-relay.psfoundation.info,39.0438,-77.4874,1
relay.chorus.community:443,48.5333,10.7,1
strfry.bonsai.com:443,39.0438,-77.4874,1
relay.wavlake.com:443,41.2619,-95.8608,1
wot.nostr.party,36.1659,-86.7844,1
relay.lacompagniemaximus.com,45.3147,-73.8785,1
relay.ditto.pub:443,43.6532,-79.3832,1
nostr.self-determined.de,53.495,10.2542,1
relay.wisp.talk:443,49.4543,11.0746,1
relay-rpi.edufeed.org:443,49.4521,11.0767,1
nostr.ps1829.com,33.8851,130.883,1
relay.laantungir.net,-19.4692,-42.5315,1
nostr.overmind.lol,43.6532,-79.3832,1
relayone.soundhsa.com:443,39.1008,-94.5811,1
nos.lol,50.4754,12.3683,1
nostr.thebiglake.org:443,32.71,-96.6745,1
nrs-02.darkcloudarcade.com:443,39.9526,-75.1652,1
speakeasy.cellar.social:443,49.4543,11.0746,1
relay2.veganostr.com,60.1699,24.9384,1
nostr.wild-vibes.ts.net,48.8566,2.35222,1
relay.camelus.app,45.5201,-122.99,1
relay.toastr.net,40.8054,-74.0241,1
dev.relay.edufeed.org:443,49.4521,11.0767,1
relay.artx.market,43.6548,-79.3885,1
relay.getsafebox.app,43.6532,-79.3832,1
relay-testnet.k8s.layer3.news:443,37.3387,-121.885,1
relay.satmaxt.xyz:443,43.6532,-79.3832,1
nostr-relay-1.trustlessenterprise.com,43.6532,-79.3832,1
slick.mjex.me,39.0418,-77.4744,1
conduitl2.fly.dev,37.7648,-122.432,1
chat-relay.zap-work.com,43.6532,-79.3832,1
strfry.bonsai.com,39.0438,-77.4874,1
nostr-relay.cbrx.io,43.6532,-79.3832,1
bcast.girino.org,43.6532,-79.3832,1
bucket.coracle.social,37.7775,-122.397,1
ribo.eu.nostria.app,43.6532,-79.3832,1
relay.bornheimer.app,51.5072,-0.127586,1
relay.lightning.pub:443,39.0438,-77.4874,1
x.kojira.io:443,43.6532,-79.3832,1
nostrcheck.me,43.6532,-79.3832,1
relay.paulstephenborile.com,49.4543,11.0746,1
relay.mostr.pub:443,43.6532,-79.3832,1
nostr.ps1829.com:443,33.8851,130.883,1
nostr.unkn0wn.world,46.8499,9.53287,1
relay.libernet.app,43.6532,-79.3832,1
relay.snort.social,53.3498,-6.26031,1
relay-fra.zombi.cloudrodion.com,48.8566,2.35222,1
nostrcity-club.fly.dev:443,37.7648,-122.432,1
thecitadel.nostr1.com,40.7057,-74.0136,1
relaisnostr.trivaco.fr,48.5734,7.75211,1
nostr.hifish.org,47.4244,8.57658,1
relay.endfiat.money:443,59.3327,18.0656,1
relay.lanacoin-eternity.com:443,40.8302,-74.1299,1
relay.bullishbounty.com:443,43.6532,-79.3832,1
relay.lanacoin-eternity.com,40.8302,-74.1299,1
relay.nostar.org,43.6532,-79.3832,1
relay.lightning.pub,39.0438,-77.4874,1
relay.nostrhub.fr,48.1045,11.6004,1
relay.underorion.se,50.1109,8.68213,1
relay.lab.rytswd.com:443,49.4543,11.0746,1
rilo.nostria.app,43.6532,-79.3832,1
nostrelay.circum.space:443,52.6907,4.8181,1
relay.binaryrobot.com:443,43.6532,-79.3832,1
treuzkas.branruz.com,48.8575,2.35138,1
relay-testnet.k8s.layer3.news,37.3387,-121.885,1
nostr-dev.wellorder.net,45.5201,-122.99,1
relay.typedcypher.com,51.5072,-0.127586,1
relay.samt.st,40.8302,-74.1299,1
relay.openresist.com:443,43.6532,-79.3832,1
relay.nostr.place:443,43.6532,-79.3832,1
relay.wellorder.net,45.5201,-122.99,1
kasztanowa.bieda.it,43.6532,-79.3832,1
nostr.mom,50.4754,12.3683,1
relay.jeffg.fyi:443,43.6532,-79.3832,1
relay.staging.commonshub.brussels,49.4543,11.0746,1
relay.mccormick.cx:443,52.3563,4.95714,1
relay.routstr.com,59.4016,17.9455,1
relay.damus.io:443,43.6532,-79.3832,1
nostr.thalheim.io,60.1699,24.9384,1
nostr-relay.amethyst.name,39.0067,-77.4291,1
relay-arg.zombi.cloudrodion.com:443,1.35208,103.82,1
relay.notoshi.win,13.3622,100.983,1
soloco.nl,43.6532,-79.3832,1
nostr.pbfs.io:443,50.4754,12.3683,1
nostr-relay.xbytez.io,50.6924,3.20113,1
relayone.soundhsa.com,39.1008,-94.5811,1
nostr.girino.org:443,43.6532,-79.3832,1
relay.layer.systems,49.0291,8.35695,1
relay.sigit.io,50.4754,12.3683,1
nostr.purpura.cloud,43.6532,-79.3832,1
nostr.wecsats.io,43.6532,-79.3832,1
nrs-01.darkcloudarcade.com:443,39.1008,-94.5811,1
relay.klabo.world,47.2343,-119.853,1
testr.nymble.world,40.8054,-74.0241,1
relay.plebeian.market,50.1109,8.68213,1
relay-dev.gulugulu.moe,43.6532,-79.3832,1
relay.zone667.com,60.1699,24.9384,1
relay2.orangesync.tech,40.7128,-74.006,1
relay.nostriot.com,41.5695,-83.9786,1
nostr.thebiglake.org,32.71,-96.6745,1
top.testrelay.top,43.6532,-79.3832,1
relay.zone667.com:443,60.1699,24.9384,1
nostr-relay.nextblockvending.com,47.2343,-119.853,1
nostr.dlcdevkit.com:443,40.0992,-83.1141,1
relay.nostriches.club,43.6532,-79.3832,1
relay.minibolt.info,43.6532,-79.3832,1
relay.aarpia.com,37.3986,-121.964,1
shu02.shugur.net,21.4902,39.2246,1
relay.lab.rytswd.com,49.4543,11.0746,1
nostrcity-club.fly.dev,37.7648,-122.432,1
nostr.easycryptosend.it,43.6532,-79.3832,1
relay.mostro.network:443,40.8302,-74.1299,1
relay.beginningend.com:443,35.2227,-97.4786,1
aeon.libretechsystems.xyz,55.486,9.86577,1
mostro-p2p.tech,50.1109,8.68213,1
relay.trotters.cc,43.6532,-79.3832,1
nostr.carroarmato0.be:443,50.914,3.21378,1
nostr-relay.zimage.com,34.0549,-118.243,1
relay.gulugulu.moe:443,43.6532,-79.3832,1
relay.fountain.fm,43.6532,-79.3832,1
relay.agora.social,50.7383,15.0648,1
relay.snotr.nl:49999,52.0195,4.42946,1
relay.goodmorningbitcoin.com,43.6532,-79.3832,1
relay.fountain.fm:443,43.6532,-79.3832,1
strfry.apps3.slidestr.net,40.4167,-3.70329,1
nostrelites.org,41.8781,-87.6298,1
bridge.tagomago.me,42.3601,-71.0589,1
dev.relay.edufeed.org,49.4521,11.0767,1
relay.nostu.be,40.4167,-3.70329,1
relay.npubhaus.com,43.6532,-79.3832,1
relay.beginningend.com,35.2227,-97.4786,1
relay.plebchain.club,43.6532,-79.3832,1
yabu.me,35.6092,139.73,1
nostr2.girino.org:443,43.6532,-79.3832,1
relay.wavlake.com,41.2619,-95.8608,1
relay.bowlafterbowl.com,32.9483,-96.7299,1
relay.cypherflow.ai:443,48.8575,2.35138,1
relay.islandbitcoin.com:443,12.8498,77.6545,1
relay.ditto.pub,43.6532,-79.3832,1
nostr.bitcoiner.social,47.6743,-117.112,1
nostr-relay.amethyst.name:443,39.0067,-77.4291,1
nostr.21crypto.ch,47.5356,8.73209,1
nas01xanthosnet.synology.me:7778,47.1285,8.74735,1
relay-fra.zombi.cloudrodion.com:443,48.8566,2.35222,1
relay.mmwaves.de:443,48.8575,2.35138,1
satsage.xyz,37.3986,-121.964,1
r.0kb.io:443,32.789,-96.7989,1
purplerelay.com,43.6532,-79.3832,1
ynostr.yael.at:443,60.1699,24.9384,1
nostr.aruku.ovh,1.27994,103.849,1
nostr.janx.com,43.6532,-79.3832,1
nostr.twinkle.lol,51.902,7.6657,1
relay.dreamith.to,43.6532,-79.3832,1
relay.mmwaves.de,48.8575,2.35138,1
nostr.2b9t.xyz,34.0549,-118.243,1
