Relay URL,Latitude,Longitude
nostr-kyomu-haskell.onrender.com,37.7775,-122.397
relay.keykeeper.world,40.7824,-74.0711
nrs-01.darkcloudarcade.com,39.1008,-94.5811
relay.nostr.net,43.6532,-79.3832
relay-nl.zombi.cloudrodion.com,50.8943,6.06237
relay.mitchelltribe.com,39.0438,-77.4874
black.nostrcity.club,48.8575,2.35138
relay.lanacoin-eternity.com,40.8302,-74.1299
adre.su,59.9311,30.3609
nostr.spaceshell.xyz,43.6532,-79.3832
bcast.seutoba.com.br,43.6532,-79.3832
relay.agorist.space,52.3734,4.89406
relay.nuts.cash,34.0362,-118.443
0x-nostr-relay.fly.dev,48.8575,2.35138
nostr.ovia.to,43.6532,-79.3832
nostr.hekster.org,37.3986,-121.964
nostr.now,35.6092,139.73
relay.pinseekr.golf,43.6532,-79.3832
vault.iris.to,43.6532,-79.3832
relay.notoshi.win,14.2046,101.213
nostr-relay.xbytez.io,50.6924,3.20113
relay.cosmicbolt.net,37.3986,-121.964
nostr-relay.corb.net,38.8353,-104.822
relay.nostrzh.org,43.6532,-79.3832
nostr.rtvslawenia.com,49.4543,11.0746
prl.plus,42.6978,23.3246
relay.jabato.space,52.3676,4.90414
nostr.21crypto.ch,47.5356,8.73209
nostr.4rs.nl,49.0291,8.35696
relay.edufeed.org,49.4521,11.0767
nostr-rs-relay-ishosta.phamthanh.me,43.6532,-79.3832
nostr-relay-1.trustlessenterprise.com,43.6532,-79.3832
relay.samt.st,40.8302,-74.1299
relay.erybody.com,41.4513,-81.7021
slick.mjex.me,39.0418,-77.4744
relay.nostriches.club,43.6532,-79.3832
relay.zone667.com,60.1699,24.9384
plebchain.club,43.6532,-79.3832
kitchen.zap.cooking,43.6532,-79.3832
bitcoinostr.duckdns.org,38.9333,-0.15
nostr.stakey.net,52.3676,4.90414
nostr.klabo.world,38.3396,-122.701
ribo.us.nostria.app,41.5868,-93.625
entirely-these-phases-melissa.trycloudflare.com,43.6532,-79.3832
relay.aruku.kro.kr,37.3589,127.115
fenrir-s.notoshi.win,43.6532,-79.3832
purpura.cloud,43.6532,-79.3832
ephemeral.snowflare.cc,43.6532,-79.3832
relay.dwadziesciajeden.pl,52.2297,21.0122
relay.0xchat.com,1.35208,103.82
nostr.mifen.me,43.6532,-79.3832
strfry.shock.network,39.0438,-77.4874
bitcoiner.social,39.1585,-94.5728
relay.anmore.me,49.281,-123.117
nostr.azzamo.net,52.2633,21.0283
relay.homeinhk.xyz,45.5152,-122.678
freeben666.fr,43.7221,7.15296
nostrja-kari.heguro.com,43.6532,-79.3832
lmqevp.duckdns.org,38.9333,-0.15
nostr.bitcoiner.social,39.1585,-94.5728
relay.nostx.io,43.6532,-79.3832
relay.bullishbounty.com,43.6532,-79.3832
espelho.girino.org,43.6532,-79.3832
