Relay URL,Latitude,Longitude,Geohash
relay.damus.io,37.7621,-122.3971,9q8yyf3
nostr-pub.wellorder.net,45.5229,-122.9898,c20dcr1
nostr.mom,50.4779,12.3713,u2bz1t0
nostr.slothy.win,37.7621,-122.3971,9q8yyf3
nostr.einundzwanzig.space,50.1155,8.6842,u0yjje5
nos.lol,50.4779,12.3713,u2bz1t0
relay.nostr.band,60.1695,24.9354,ud9wr3t
no.str.cr,9.9339,-84.0849,d1u0w87
nostr.massmux.com,50.1155,8.6842,u0yjje5
nostr-relay.schnitzel.world,39.0437,-77.4875,dqbyhex
relay.nostr.com.au,37.7621,-122.3971,9q8yyf3
knostr.neutrine.com,48.8534,2.3488,u09tvmq
nostr.nodeofsven.com,47.4875,8.2965,u0myhuc
nostr.vulpem.com,49.4542,11.0775,u0zck4f
nostr-verif.slothy.win,37.7621,-122.3971,9q8yyf3
relay.lexingtonbitcoin.org,37.7621,-122.3971,9q8yyf3
nostr-1.nbo.angani.co,-1.2615,36.7903,kzf0v4m
relay.wellorder.net,45.5229,-122.9898,c20dcr1
nostr.easydns.ca,43.7064,-79.3986,dpz89hx
relay.dwadziesciajeden.pl,52.2298,21.0118,u3qcnhh
nostr.data.haus,50.4779,12.3713,u2bz1t0
nostr.einundzwanzig.space,50.1155,8.6842,u0yjje5
nostr.mom,50.4779,12.3713,u2bz1t0
nos.lol,50.4779,12.3713,u2bz1t0
relay.nostr.band,60.1695,24.9354,ud9wr3t
nostr.massmux.com,50.1155,8.6842,u0yjje5
nostr.vulpem.com,49.4542,11.0775,u0zck4f
relay.damus.io,37.7621,-122.3971,9q8yyf3
nostr-pub.wellorder.net,45.5229,-122.9898,c20dcr1
no.str.cr,9.9339,-84.0849,d1u0w87
relay.dwadziesciajeden.pl,52.2298,21.0118,u3qcnhh
nostr.data.haus,50.4779,12.3713,u2bz1t0
relay.wellorder.net,45.5229,-122.9898,c20dcr1
relay.nostromo.social,49.4542,11.0775,u0zck4f
offchain.pub,34.0522,-118.2437,9q5ctr1
relay.nostr.wirednet.jp,35.9356,139.3044,xn7h3vy
relay.nostrcheck.me,37.7621,-122.3971,9q8yyf3
nostrue.com,40.8043,-74.0121,dr725u4
nostr-relay.schnitzel.world,39.0437,-77.4875,dqbyhex
nproxy.kristapsk.lv,60.1695,24.9354,ud9wr3t
nostr.spaceshell.xyz,37.7621,-122.3971,9q8yyf3
nostr-dev.wellorder.net,45.5229,-122.9898,c20dcr1
nostr-verified.wellorder.net,45.5229,-122.9898,c20dcr1
nostr.roundrockbitcoiners.com,40.8043,-74.0121,dr725u4
